Date,Open,High,Low,Close,Adj_Close,Volume,Price,InvestAmount,BuyPrice,UnitsBought,CashUsed,CashRemainder,CumUnits,CumInvested,AvgCost
2005-09-02,12571.8798828125,12600.0,12544.3701171875,12600.0,12600.0,89700000.0,12600.0,10000.0,12600.0,0.793651,10000.0,0.0,0.793651,10000.0,12599.996724000852
2005-10-03,13566.2001953125,13584.6103515625,13454.669921875,13525.2802734375,13525.2802734375,203400000.0,13525.2802734375,10000.0,13525.2802734375,0.739356,10000.0,0.0,1.533007,20000.0,13046.254844237501
2005-11-01,13718.2099609375,13867.8603515625,13706.330078125,13867.8603515625,13867.8603515625,113700000.0,13867.8603515625,10000.0,13867.8603515625,0.721092,10000.0,0.0,2.254099,30000.0,13309.087134149831
2005-12-01,14914.75,15130.5,14880.1796875,15130.5,15130.5,150800000.0,15130.5,10000.0,15130.5,0.660917,10000.0,0.0,2.915016,40000.0,13722.05161138052
2006-01-04,16294.650390625,16361.5400390625,16250.759765625,16361.5400390625,16361.5400390625,94300000.0,16361.5400390625,10000.0,16361.5400390625,0.611189,10000.0,0.0,3.526205,50000.0,14179.54996944307
2006-02-01,16594.900390625,16671.91015625,16480.08984375,16480.08984375,16480.08984375,160300000.0,16480.08984375,10000.0,16480.08984375,0.606793,10000.0,0.0,4.132998,60000.0,14517.306807310337
2006-03-01,16026.8203125,16053.2998046875,15910.650390625,15964.4599609375,15964.4599609375,139300000.0,15964.4599609375,10000.0,15964.4599609375,0.626391,10000.0,0.0,4.759389,70000.0,14707.770262107175
2006-04-03,17127.609375,17387.080078125,17105.5,17333.310546875,17333.310546875,129600000.0,17333.310546875,10000.0,17333.310546875,0.576924,10000.0,0.0,5.336313,80000.0,14991.62436686154
2006-05-01,16929.830078125,16965.330078125,16868.689453125,16925.7109375,16925.7109375,79600000.0,16925.7109375,10000.0,16925.7109375,0.590817,10000.0,0.0,5.92713,90000.0,15184.414716734744
2006-06-01,15603.25,15655.0,15417.509765625,15503.740234375,15503.740234375,102500000.0,15503.740234375,10000.0,15503.740234375,0.645006,10000.0,0.0,6.572136,100000.0,15215.753295427849
2006-07-03,15573.349609375,15617.2197265625,15513.2900390625,15571.6201171875,15571.6201171875,102700000.0,15571.6201171875,10000.0,15571.6201171875,0.642194,10000.0,0.0,7.21433,110000.0,15247.431154383012
2006-08-01,15387.51953125,15522.0302734375,15365.7099609375,15440.91015625,15440.91015625,93000000.0,15440.91015625,10000.0,15440.91015625,0.64763,10000.0,0.0,7.861960000000001,120000.0,15263.369439681706
2006-09-01,16072.8095703125,16158.48046875,16029.5595703125,16134.25,16134.25,100200000.0,16134.25,10000.0,16134.25,0.619799,10000.0,0.0,8.481759,130000.0,15327.009409251075
2006-10-02,16169.0,16329.240234375,16157.98046875,16254.2900390625,16254.2900390625,102600000.0,16254.2900390625,10000.0,16254.2900390625,0.615222,10000.0,0.0,9.096981,140000.0,15389.721051412553
2006-11-01,16338.7197265625,16444.509765625,16246.240234375,16375.259765625,16375.259765625,103800000.0,16375.259765625,10000.0,16375.259765625,0.610677,10000.0,0.0,9.707658,150000.0,15451.718632856657
2006-12-01,16313.01953125,16376.2998046875,16242.009765625,16321.7802734375,16321.7802734375,111800000.0,16321.7802734375,10000.0,16321.7802734375,0.612678,10000.0,0.0,10.320336000000001,160000.0,15503.371208069193
2007-01-04,17322.5,17379.4609375,17315.759765625,17353.669921875,17353.669921875,80100000.0,17353.669921875,10000.0,17353.669921875,0.576247,10000.0,0.0,10.896583000000001,170000.0,15601.221043330737
2007-02-01,17377.029296875,17543.9609375,17361.009765625,17519.5,17519.5,167800000.0,17519.5,10000.0,17519.5,0.570793,10000.0,0.0,11.467376000000002,180000.0,15696.703413230714
2007-03-01,17542.23046875,17557.419921875,17261.599609375,17453.509765625,17453.509765625,222300000.0,17453.509765625,10000.0,17453.509765625,0.572951,10000.0,0.0,12.040327000000001,190000.0,15780.30231238736
2007-04-02,17346.25,17425.740234375,16999.05078125,17028.41015625,17028.41015625,153900000.0,17028.41015625,10000.0,17028.41015625,0.587254,10000.0,0.0,12.627581000000001,200000.0,15838.346235910107
2007-05-01,17396.30078125,17396.30078125,17203.029296875,17274.98046875,17274.98046875,120300000.0,17274.98046875,10000.0,17274.98046875,0.578872,10000.0,0.0,13.206453000000002,210000.0,15901.317333276389
2007-06-01,17949.919921875,18017.73046875,17943.6796875,17958.880859375,17958.880859375,158700000.0,17958.880859375,10000.0,17958.880859375,0.556828,10000.0,0.0,13.763281000000001,220000.0,15984.560658174456
2007-07-02,18139.0390625,18175.30078125,18062.490234375,18146.30078125,18146.30078125,108600000.0,18146.30078125,10000.0,18146.30078125,0.551077,10000.0,0.0,14.314358,230000.0,16067.783130755846
2007-08-01,17169.19921875,17169.19921875,16845.5390625,16870.98046875,16870.98046875,161400000.0,16870.98046875,10000.0,16870.98046875,0.592734,10000.0,0.0,14.907092,240000.0,16099.719516053165
2007-09-03,16511.0703125,16575.970703125,16452.740234375,16524.9296875,16524.9296875,96700000.0,16524.9296875,10000.0,16524.9296875,0.605146,10000.0,0.0,15.512238,250000.0,16116.307653350857
2007-10-01,16773.099609375,16899.83984375,16685.80078125,16845.9609375,16845.9609375,108600000.0,16845.9609375,10000.0,16845.9609375,0.593614,10000.0,0.0,16.105852,260000.0,16143.200620494961
2007-11-01,16812.900390625,16887.0390625,16795.55078125,16870.400390625,16870.400390625,144900000.0,16870.400390625,10000.0,16870.400390625,0.592754,10000.0,0.0,16.698605999999998,270000.0,16169.014347664712
2007-12-03,15747.4697265625,15799.6904296875,15577.6904296875,15628.9697265625,15628.9697265625,137500000.0,15628.9697265625,10000.0,15628.9697265625,0.639837,10000.0,0.0,17.338442999999998,280000.0,16149.0855897499
2008-01-04,15155.73046875,15156.66015625,14542.580078125,14691.41015625,14691.41015625,98700000.0,14691.41015625,10000.0,14691.41015625,0.68067,10000.0,0.0,18.019112999999997,290000.0,16094.021942145546
2008-02-01,13517.740234375,13648.3896484375,13444.080078125,13497.16015625,13497.16015625,142600000.0,13497.16015625,10000.0,13497.16015625,0.740897,10000.0,0.0,18.760009999999998,300000.0,15991.462691117971
2008-03-03,13412.8701171875,13413.6298828125,12992.1796875,12992.1796875,12992.1796875,142400000.0,12992.1796875,10000.0,12992.1796875,0.769694,10000.0,0.0,19.529704,310000.0,15873.256450789015
2008-04-01,12539.7998046875,12779.1396484375,12521.83984375,12656.419921875,12656.419921875,114500000.0,12656.419921875,10000.0,12656.419921875,0.790113,10000.0,0.0,20.319817,320000.0,15748.17332262392
2008-05-01,13802.58984375,13884.6298828125,13727.0703125,13766.8603515625,13766.8603515625,110700000.0,13766.8603515625,10000.0,13766.8603515625,0.726382,10000.0,0.0,21.046199,330000.0,15679.790920916408
2008-06-02,14342.9599609375,14461.0302734375,14189.9697265625,14440.1396484375,14440.1396484375,154800000.0,14440.1396484375,10000.0,14440.1396484375,0.692514,10000.0,0.0,21.738713,340000.0,15640.300325046841
2008-07-01,13514.8603515625,13576.41015625,13448.349609375,13463.2001953125,13463.2001953125,121400000.0,13463.2001953125,10000.0,13463.2001953125,0.742765,10000.0,0.0,22.481478,350000.0,15568.371438924078
2008-08-01,13276.5703125,13294.169921875,13039.2099609375,13094.58984375,13094.58984375,135000000.0,13094.58984375,10000.0,13094.58984375,0.763674,10000.0,0.0,23.245151999999997,360000.0,15487.100277941829
2008-09-01,12936.8095703125,12940.5498046875,12834.1796875,12834.1796875,12834.1796875,87500000.0,12834.1796875,10000.0,12834.1796875,0.779169,10000.0,0.0,24.024320999999997,370000.0,15401.059617876403
2008-10-01,11396.6103515625,11456.6396484375,11314.2802734375,11368.259765625,11368.259765625,142400000.0,11368.259765625,10000.0,11368.259765625,0.879642,10000.0,0.0,24.903962999999997,380000.0,15258.615666912132
2008-11-04,8702.76953125,9142.2900390625,8699.76953125,9114.599609375,9114.599609375,164800000.0,9114.599609375,10000.0,9114.599609375,1.097141,10000.0,0.0,26.001103999999998,390000.0,14999.363103966663
2008-12-01,8464.3603515625,8464.3603515625,8307.2802734375,8397.2197265625,8397.2197265625,106900000.0,8397.2197265625,10000.0,8397.2197265625,1.19087,10000.0,0.0,27.191974,400000.0,14710.22295034557
2009-01-05,8991.2099609375,9127.3798828125,8987.3603515625,9043.1201171875,9043.1201171875,84900000.0,9043.1201171875,10000.0,9043.1201171875,1.105813,10000.0,0.0,28.297787,410000.0,14488.76549957776
2009-02-02,7908.509765625,7955.75,7795.27001953125,7873.97998046875,7873.97998046875,159700000.0,7873.97998046875,10000.0,7873.97998046875,1.270006,10000.0,0.0,29.567792999999998,420000.0,14204.64489858949
2009-03-02,7454.27978515625,7454.27978515625,7234.9599609375,7280.14990234375,7280.14990234375,125400000.0,7280.14990234375,10000.0,7280.14990234375,1.373598,10000.0,0.0,30.941391,430000.0,13897.242047068925
2009-04-01,8173.35986328125,8351.91015625,8084.6201171875,8351.91015625,8351.91015625,157000000.0,8351.91015625,10000.0,8351.91015625,1.197331,10000.0,0.0,32.138722,440000.0,13690.650175822175
2009-05-01,8848.83984375,9017.3203125,8827.1298828125,8977.3701171875,8977.3701171875,154800000.0,8977.3701171875,10000.0,8977.3701171875,1.113912,10000.0,0.0,33.252634,450000.0,13532.762547472179
2009-06-01,9517.490234375,9691.73046875,9491.259765625,9677.75,9677.75,177600000.0,9677.75,10000.0,9677.75,1.033298,10000.0,0.0,34.285932,460000.0,13416.581471374322
2009-07-01,9889.33984375,10086.1796875,9874.0,9939.9296875,9939.9296875,158100000.0,9939.9296875,10000.0,9939.9296875,1.006043,10000.0,0.0,35.291975,470000.0,13317.475148387133
2009-08-03,10355.23046875,10380.5703125,10322.0,10352.4697265625,10352.4697265625,162000000.0,10352.4697265625,10000.0,10352.4697265625,0.965953,10000.0,0.0,36.257928,480000.0,13238.48400824228
2009-09-02,10378.080078125,10378.080078125,10215.599609375,10280.4599609375,10280.4599609375,138100000.0,10280.4599609375,10000.0,10280.4599609375,0.972719,10000.0,0.0,37.230647,490000.0,13161.20023377515
2009-10-01,10072.6396484375,10077.2197265625,9965.0595703125,9978.6396484375,9978.6396484375,134900000.0,9978.6396484375,10000.0,9978.6396484375,1.002141,10000.0,0.0,38.232788,500000.0,13077.780254999976
2009-11-02,9903.76953125,9904.6103515625,9736.1396484375,9802.9501953125,9802.9501953125,128500000.0,9802.9501953125,10000.0,9802.9501953125,1.020101,10000.0,0.0,39.252888999999996,510000.0,12992.674246219178
